Jun 25 07:00:43 astra kernel: [42278.882309] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:00:49 astra kernel: [42285.166715] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:03:52 astra kernel: [42467.812958] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:03:58 astra kernel: [42474.110292] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:06:59 astra kernel: [42655.465452] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:06:59 astra kernel: [42655.465493] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:10:00 astra kernel: [42835.937195] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:10:06 astra kernel: [42842.083625] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:13:06 astra kernel: [43022.551865] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:13:22 astra kernel: [43038.494244] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:16:27 astra kernel: [43223.293928] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:16:33 astra kernel: [43229.434604] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:19:33 astra kernel: [43409.618633] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:19:40 astra kernel: [43415.763477] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:22:41 astra kernel: [43597.010935] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:22:41 astra kernel: [43597.010946] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:25:46 astra kernel: [43782.355165] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:25:52 astra kernel: [43788.501304] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:28:57 astra kernel: [43973.587806] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:29:03 astra kernel: [43979.736231] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:32:05 astra kernel: [44161.235934] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:32:05 astra kernel: [44161.235943] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:35:07 astra kernel: [44343.308024] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:35:07 astra kernel: [44343.308071] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:38:10 astra kernel: [44526.092225] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:38:16 astra kernel: [44532.234587] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:41:20 astra kernel: [44716.493660] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:41:26 astra kernel: [44722.639668] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:44:31 astra kernel: [44907.470356] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:44:44 astra kernel: [44920.077262] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:47:44 astra kernel: [45100.238209] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:47:44 astra kernel: [45100.238218] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:50:49 astra kernel: [45284.814147] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:50:55 astra kernel: [45291.224685] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:53:57 astra kernel: [45473.308646] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:53:57 astra kernel: [45473.308656] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:57:02 astra kernel: [45658.161949] nfs: server 192.168.57.11 not responding, timed out
Jun 25 07:57:05 astra kernel: [45661.236080] nfs: server 192.168.57.11 not responding, timed out
Jun 25 08:00:06 astra kernel: [45842.653289] nfs: server 192.168.57.11 not responding, timed out
Jun 25 08:00:19 astra kernel: [45854.927685] nfs: server 192.168.57.11 not responding, timed out
